Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр,Обработанный текст,Токенизированный текст,Лематизированный текст,Токенезированный текст 2,Кластер,Категория кластера,Категория кластера моделирование
Плата за страх,1953,2h 36m,"В дряхлевой южноамериканской деревне нанимаются четверо мужчин для перевозки неотложной грузоподъемности нитроглицерина без оборудования, которое сделало бы его безопасным.",8.1,"France, Italy","Adventure, Drama, Thriller","в дряхлевой южноамериканской деревне нанимаются четверо мужчин для перевозки неотложной грузоподъемности нитроглицерина без оборудования, которое сделало бы его безопасным.","дряхлевой южноамериканской деревне нанимаются четверо мужчин перевозки неотложной грузоподъемности нитроглицерина оборудования , которое сделало безопасным .","дряхлевый южноамериканский деревня наниматься четверо мужчина перевозка неотложный грузоподъёмность нитроглицерин оборудование , который сделать безопасный .","['дряхлевой', 'южноамериканской', 'деревне', 'нанимаются', 'четверо', 'мужчин', 'перевозки', 'неотложной', 'грузоподъемности', 'нитроглицерина', 'оборудования', ',', 'которое', 'сделало', 'безопасным', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
В порту,1954,1h 48m,"Экс-боец, превративший в Нью-Джерси Лонгшореман, изо всех сил пытается противостоять своим коррумпированным боссам Союза, включая своего старшего брата, когда он начинает общаться с скорбящей сестрой одной из жертв синдиката.",8.1,United States,"Crime, Drama, Thriller","экс-боец, превративший в нью-джерси лонгшореман, изо всех сил пытается противостоять своим коррумпированным боссам союза, включая своего старшего брата, когда он начинает общаться с скорбящей сестрой одной из жертв синдиката.","экс-боец , превративший нью-джерси лонгшореман , изо сил пытается противостоять своим коррумпированным боссам союза , включая своего старшего брата , начинает общаться скорбящей сестрой одной жертв синдиката .","экс-боец , превратить нью-джерси лонгшореман , из сила пытаться противостоять свой коррумпировать босс союз , включая свой старший брат , начинать общаться скорбеть сестра один жертва синдикат .","['экс-боец', ',', 'превративший', 'нью-джерси', 'лонгшореман', ',', 'изо', 'сил', 'пытается', 'противостоять', 'своим', 'коррумпированным', 'боссам', 'союза', ',', 'включая', 'своего', 'старшего', 'брата', ',', 'начинает', 'общаться', 'скорбящей', 'сестрой', 'одной', 'жертв', 'синдиката', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
Мистер Смит едет в Вашингтон,1939,2h 9m,"Наивный молодежный лидер назначается для заполнения вакансии в Сенате США. Его идеалистические планы быстро сталкиваются с коррупцией дома и уловками от своего героя в Вашингтоне, но он пытается выходить вперед, несмотря на нападения на своего характера.",8.1,United States,"Comedy, Drama","наивный молодежный лидер назначается для заполнения вакансии в сенате сша. его идеалистические планы быстро сталкиваются с коррупцией дома и уловками от своего героя в вашингтоне, но он пытается выходить вперед, несмотря на нападения на своего характера.","наивный молодежный лидер назначается заполнения вакансии сенате сша . идеалистические планы быстро сталкиваются коррупцией дома уловками своего героя вашингтоне , пытается выходить вперед , несмотря нападения своего характера .","наивный молодёжный лидер назначаться заполнение вакансия сенат сша . идеалистический план быстро сталкиваться коррупция дом уловка свой герой вашингтон , пытаться выходить вперёд , несмотря нападение свой характер .","['наивный', 'молодежный', 'лидер', 'назначается', 'заполнения', 'вакансии', 'сенате', 'сша', '.', 'идеалистические', 'планы', 'быстро', 'сталкиваются', 'коррупцией', 'дома', 'уловками', 'своего', 'героя', 'вашингтоне', ',', 'пытается', 'выходить', 'вперед', ',', 'несмотря', 'нападения', 'своего', 'характера', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Земляничная поляна,1957,1h 32m,"Проживая жизнь, отмеченную холодом, стареющий профессор вынужден противостоять пустоте своего существования.",8.1,Sweden,"Drama, Romance","проживая жизнь, отмеченную холодом, стареющий профессор вынужден противостоять пустоте своего существования.","проживая жизнь , отмеченную холодом , стареющий профессор вынужден противостоять пустоте своего существования .","проживать жизнь , отметить холод , стареть профессор вынудить противостоять пустота свой существование .","['проживая', 'жизнь', ',', 'отмеченную', 'холодом', ',', 'стареющий', 'профессор', 'вынужден', 'противостоять', 'пустоте', 'своего', 'существования', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Логан,2017,2h 17m,"В будущем, где мутанты почти вымерли, пожилые люди и утомленный Логан ведет тихую жизнь. Но когда Лаура, мутант -ребенок, преследуемый учеными, приходит к нему за помощью, он должен доставить ее в безопасное место.",8.1,United States,"Action, Drama, Sci-Fi","в будущем, где мутанты почти вымерли, пожилые люди и утомленный логан ведет тихую жизнь. но когда лаура, мутант -ребенок, преследуемый учеными, приходит к нему за помощью, он должен доставить ее в безопасное место.","будущем , мутанты вымерли , пожилые люди утомленный логан ведет тихую жизнь . лаура , мутант -ребенок , преследуемый учеными , приходит нему помощью , должен доставить безопасное место .","будущее , мутант вымереть , пожилой человек утомлённый логан вести тихий жизнь . лаура , мутант -ребёнок , преследовать учёный , приходить он помощь , должный доставить безопасный место .","['будущем', ',', 'мутанты', 'вымерли', ',', 'пожилые', 'люди', 'утомленный', 'логан', 'ведет', 'тихую', 'жизнь', '.', 'лаура', ',', 'мутант', '-ребенок', ',', 'преследуемый', 'учеными', ',', 'приходит', 'нему', 'помощью', ',', 'должен', 'доставить', 'безопасное', 'место', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Третий человек,1949,1h 44m,"Романист из целлюлозы Холли Мартинс путешествует в тенистую, послевоенную Вену, только чтобы расследовать загадочную смерть старого друга Гарри Лайма.",8.1,United Kingdom,"Drama, Film-Noir, Mystery","романист из целлюлозы холли мартинс путешествует в тенистую, послевоенную вену, только чтобы расследовать загадочную смерть старого друга гарри лайма.","романист целлюлозы холли мартинс путешествует тенистую , послевоенную вену , расследовать загадочную смерть старого друга гарри лайма .","романист целлюлоза холль мартинс путешествовать тенистый , послевоенный вена , расследовать загадочный смерть старое друг гарри лайм .","['романист', 'целлюлозы', 'холли', 'мартинс', 'путешествует', 'тенистую', ',', 'послевоенную', 'вену', ',', 'расследовать', 'загадочную', 'смерть', 'старого', 'друга', 'гарри', 'лайма', '.']",9,"Испытания дружбы, Разные миры, одни проблемы: конфликты, память и война",
Рокки,1976,2h 0m,"Небольшой боксер из Филадельфии получает чрезвычайно редкий шанс сразиться с чемпионом мира в супертяжелом весе, в котором он стремится пройти дистанцию ​​для своего самоуважения.",8.1,United States,"Drama, Sport","небольшой боксер из филадельфии получает чрезвычайно редкий шанс сразиться с чемпионом мира в супертяжелом весе, в котором он стремится пройти дистанцию ​​для своего самоуважения.","небольшой боксер филадельфии получает чрезвычайно редкий шанс сразиться чемпионом мира супертяжелом весе , котором стремится пройти дистанцию ​​для своего самоуважения .","небольшой боксёр филадельфия получать чрезвычайно редкий шанс сразиться чемпион мир супертяжёлый вес , который стремиться пройти дистанция ​​длить свой самоуважение .","['небольшой', 'боксер', 'филадельфии', 'получает', 'чрезвычайно', 'редкий', 'шанс', 'сразиться', 'чемпионом', 'мира', 'супертяжелом', 'весе', ',', 'котором', 'стремится', 'пройти', 'дистанцию', '\u200b\u200bдля', 'своего', 'самоуважения', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Махараджа,2024,2h 21m,"Парикмахер ищет мести после того, как его дом будет ограблен, загадочно рассказывает полиции, что его «Лакшми» был взят, оставив их неопределенными, если это человек или объект. Его стремление восстановить неуловимую ""Лакшми"" разворачивается.",8.4,India,"Action, Crime, Drama","парикмахер ищет мести после того, как его дом будет ограблен, загадочно рассказывает полиции, что его «лакшми» был взят, оставив их неопределенными, если это человек или объект. его стремление восстановить неуловимую ""лакшми"" разворачивается.","парикмахер ищет мести , дом ограблен , загадочно рассказывает полиции , « лакшми » взят , оставив неопределенными , человек объект . стремление восстановить неуловимую `` лакшми '' разворачивается .","парикмахер искать месть , дом ограбить , загадочно рассказывать полиция , « лакшми » взять , оставить неопределённый , человек объект . стремление восстановить неуловимый `` лакшми `` разворачиваться .","['парикмахер', 'ищет', 'мести', ',', 'дом', 'ограблен', ',', 'загадочно', 'рассказывает', 'полиции', ',', '«', 'лакшми', '»', 'взят', ',', 'оставив', 'неопределенными', ',', 'человек', 'объект', '.', 'стремление', 'восстановить', 'неуловимую', '``', 'лакшми', ""''"", 'разворачивается', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Токийская повесть,1953,2h 17m,"Старая пара посещает их детей и внуков в городе, но уделяет мало внимания.",8.1,Japan,Drama,"старая пара посещает их детей и внуков в городе, но уделяет мало внимания.","старая пара посещает детей внуков городе , уделяет мало внимания .","старый пара посещать ребёнок внук город , уделять мало внимание .","['старая', 'пара', 'посещает', 'детей', 'внуков', 'городе', ',', 'уделяет', 'мало', 'внимания', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Большой Лебовски,1998,1h 57m,"Джефф ""Чувак"" Лебовски, ошибочный за одноименное миллионера, ищет реституцию за его разрушенный коврик и заполняет своих приятелей для боулинга, чтобы помочь получить его.",8.1,"United Kingdom, United States","Comedy, Crime","джефф ""чувак"" лебовски, ошибочный за одноименное миллионера, ищет реституцию за его разрушенный коврик и заполняет своих приятелей для боулинга, чтобы помочь получить его.","джефф `` чувак '' лебовски , ошибочный одноименное миллионера , ищет реституцию разрушенный коврик заполняет своих приятелей боулинга , помочь получить .","джефф `` чувак `` лебовск , ошибочный одноимённый миллионер , искать реституция разрушить коврик заполнять свой приятель боулинг , помочь получить .","['джефф', '``', 'чувак', ""''"", 'лебовски', ',', 'ошибочный', 'одноименное', 'миллионера', ',', 'ищет', 'реституцию', 'разрушенный', 'коврик', 'заполняет', 'своих', 'приятелей', 'боулинга', ',', 'помочь', 'получить', '.']",8,"борьбы между светом и тьмой, Испытания веры",
В центре внимания,2015,2h 9m,"Истинная история о том, как Бостонский глобус раскрыл массовый скандал с пристанием к ребенку и прикрытию в местной католической архиепархии, встряхивая всю католическую церковь.",8.1,United States,"Biography, Crime, Drama","истинная история о том, как бостонский глобус раскрыл массовый скандал с пристанием к ребенку и прикрытию в местной католической архиепархии, встряхивая всю католическую церковь.","истинная история , бостонский глобус раскрыл массовый скандал пристанием ребенку прикрытию местной католической архиепархии , встряхивая католическую церковь .","истинный история , бостонский глобус раскрыть массовый скандал пристание ребёнок прикрытие местный католический архиепархия , встряхивать католический церковь .","['истинная', 'история', ',', 'бостонский', 'глобус', 'раскрыл', 'массовый', 'скандал', 'пристанием', 'ребенку', 'прикрытию', 'местной', 'католической', 'архиепархии', ',', 'встряхивая', 'католическую', 'церковь', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Седьмая печать,1957,1h 36m,"Рыцарь, возвращающийся в Швецию после того, как крестовые походы ищут ответы о жизни, смерти и существовании Бога, когда Он играет в шахмат против мрачного жнеца во время черной чумы.",8.1,Sweden,"Drama, Fantasy","рыцарь, возвращающийся в швецию после того, как крестовые походы ищут ответы о жизни, смерти и существовании бога, когда он играет в шахмат против мрачного жнеца во время черной чумы.","рыцарь , возвращающийся швецию , крестовые походы ищут ответы жизни , смерти существовании бога , играет шахмат против мрачного жнеца время черной чумы .","рыцарь , возвращаться швеция , крестовый поход искать ответ жизнь , смерть существование бог , играть шахматы против мрачный жнец время чёрный чума .","['рыцарь', ',', 'возвращающийся', 'швецию', ',', 'крестовые', 'походы', 'ищут', 'ответы', 'жизни', ',', 'смерти', 'существовании', 'бога', ',', 'играет', 'шахмат', 'против', 'мрачного', 'жнеца', 'время', 'черной', 'чумы', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Терминатор,1984,1h 47m,"Киборгский убийца из будущих попыток найти и убить молодую женщину, которой суждено родить воина, который приведет к сопротивлению спасению человечества от исчезновения.",8.1,"United Kingdom, United States","Action, Adventure, Sci-Fi","киборгский убийца из будущих попыток найти и убить молодую женщину, которой суждено родить воина, который приведет к сопротивлению спасению человечества от исчезновения.","киборгский убийца будущих попыток найти убить молодую женщину , которой суждено родить воина , приведет сопротивлению спасению человечества исчезновения .","киборгский убийца будущий попытка найти убить молодой женщина , который суждено родить воин , привести сопротивление спасение человечество исчезновение .","['киборгский', 'убийца', 'будущих', 'попыток', 'найти', 'убить', 'молодую', 'женщину', ',', 'которой', 'суждено', 'родить', 'воина', ',', 'приведет', 'сопротивлению', 'спасению', 'человечества', 'исчезновения', '.']",3,"мотив разочарования, Герои сталкиваются с крахом иллюзий из-за наркотиков, одержимость над фальшивой реальности и войны.",
Комната,2015,1h 58m,"Маленький мальчик держит в плену в комнате со своей матерью с момента его рождения, поэтому он никогда не знал мир снаружи.",8.1,"Ireland, Canada, United Kingdom, United States","Drama, Thriller","маленький мальчик держит в плену в комнате со своей матерью с момента его рождения, поэтому он никогда не знал мир снаружи.","маленький мальчик держит плену комнате своей матерью момента рождения , поэтому знал мир снаружи .","маленький мальчик держать плен комната свой мать момент рождение , поэтому знать мир снаружи .","['маленький', 'мальчик', 'держит', 'плену', 'комнате', 'своей', 'матерью', 'момента', 'рождения', ',', 'поэтому', 'знал', 'мир', 'снаружи', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,2h 23m,"Кузнец будет объединяться с эксцентричным пиратом «капитаном» Джеком Воробей, чтобы спасти Элизабет Суонн, дочь губернатора и его любовь, от бывших пиратских союзников Джека, которые сейчас нежить.",8.1,United States,"Action, Adventure, Fantasy","кузнец будет объединяться с эксцентричным пиратом «капитаном» джеком воробей, чтобы спасти элизабет суонн, дочь губернатора и его любовь, от бывших пиратских союзников джека, которые сейчас нежить.","кузнец объединяться эксцентричным пиратом « капитаном » джеком воробей , спасти элизабет суонн , дочь губернатора любовь , бывших пиратских союзников джека , нежить .","кузнец объединяться эксцентричный пират « капитан » джек воробей , спасти элизабет суонна , дочь губернатор любовь , бывший пиратский союзник джек , нежить .","['кузнец', 'объединяться', 'эксцентричным', 'пиратом', '«', 'капитаном', '»', 'джеком', 'воробей', ',', 'спасти', 'элизабет', 'суонн', ',', 'дочь', 'губернатора', 'любовь', ',', 'бывших', 'пиратских', 'союзников', 'джека', ',', 'нежить', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Ненависть,1995,1h 38m,24 часа в жизни трех молодых людей во французских пригородах на следующий день после жестокого бунта.,8.1,France,"Crime, Drama",24 часа в жизни трех молодых людей во французских пригородах на следующий день после жестокого бунта.,24 часа жизни трех молодых людей французских пригородах следующий день жестокого бунта .,24 час жизнь три молодой человек французский пригород следующий день жестокий бунт .,"['24', 'часа', 'жизни', 'трех', 'молодых', 'людей', 'французских', 'пригородах', 'следующий', 'день', 'жестокого', 'бунта', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Да прольётся свет,2021,2h 44m,"Когда племенный мужчина арестован по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь принести справедливость.",8.7,"India, United States","Crime, Drama","когда племенный мужчина арестован по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь принести справедливость.","племенный мужчина арестован делу предполагаемой краже , жена обращается адвокату правам человека , помочь принести справедливость .","племенный мужчина арестовать дело предполагать кража , жена обращаться адвокат право человек , помочь принести справедливость .","['племенный', 'мужчина', 'арестован', 'делу', 'предполагаемой', 'краже', ',', 'жена', 'обращается', 'адвокату', 'правам', 'человека', ',', 'помочь', 'принести', 'справедливость', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Отель «Руанда»,2004,2h 1m,"Пол Русесабагина, менеджер отеля, размещает более тысячи беженцев тутси во время их борьбы с милицией хуту в Руанде, Африка.",8.1,"United States, United Kingdom, South Africa, Italy","Biography, Drama, History","пол русесабагина, менеджер отеля, размещает более тысячи беженцев тутси во время их борьбы с милицией хуту в руанде, африка.","пол русесабагина , менеджер отеля , размещает тысячи беженцев тутси время борьбы милицией хуту руанде , африка .","пол русесабагин , менеджер отель , размещать тысяча беженец тутси время борьба милиция хут руанда , африка .","['пол', 'русесабагина', ',', 'менеджер', 'отеля', ',', 'размещает', 'тысячи', 'беженцев', 'тутси', 'время', 'борьбы', 'милицией', 'хуту', 'руанде', ',', 'африка', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
Взвод,1986,2h 0m,"Крис Тейлор, новобранец неофит во Вьетнаме, оказывается пойманным в битве завещания между двумя сержантами, одним добром и другом злом. Проницательное исследование жестокости войны и двойственности человека в конфликте.",8.1,"United States, United Kingdom","Drama, War","крис тейлор, новобранец неофит во вьетнаме, оказывается пойманным в битве завещания между двумя сержантами, одним добром и другом злом. проницательное исследование жестокости войны и двойственности человека в конфликте.","крис тейлор , новобранец неофит вьетнаме , оказывается пойманным битве завещания двумя сержантами , одним добром другом злом . проницательное исследование жестокости войны двойственности человека конфликте .","крис тейлор , новобранец неофит вьетнам , оказываться поймать битва завещание два сержант , один добрый друг зло . проницательный исследование жестокость война двойственность человек конфликт .","['крис', 'тейлор', ',', 'новобранец', 'неофит', 'вьетнаме', ',', 'оказывается', 'пойманным', 'битве', 'завещания', 'двумя', 'сержантами', ',', 'одним', 'добром', 'другом', 'злом', '.', 'проницательное', 'исследование', 'жестокости', 'войны', 'двойственности', 'человека', 'конфликте', '.']",9,"Испытания дружбы, Разные миры, одни проблемы: конфликты, память и война",
Перед закатом,2004,1h 20m,"Через девять лет после того, как Джесси и Селин впервые встретились, они снова сталкиваются друг с другом на французском этапе книжного тура Джесси.",8.1,"France, United States","Drama, Romance","через девять лет после того, как джесси и селин впервые встретились, они снова сталкиваются друг с другом на французском этапе книжного тура джесси.","девять лет , джесси селин впервые встретились , снова сталкиваются друг другом французском этапе книжного тура джесси .","девять год , джесси селина впервые встретиться , снова сталкиваться друг друг французский этап книжный тур джесси .","['девять', 'лет', ',', 'джесси', 'селин', 'впервые', 'встретились', ',', 'снова', 'сталкиваются', 'друг', 'другом', 'французском', 'этапе', 'книжного', 'тура', 'джесси', '.']",9,"Испытания дружбы, Разные миры, одни проблемы: конфликты, память и война",
Лучшие годы нашей жизни,1946,2h 50m,"Три ветерана Второй мировой войны, два из которых были травмированы или инвалиды, возвращаются домой на американский Средний Запад, чтобы обнаружить, что они и их семьи были непоправимо изменились.",8.1,United States,"Drama, Romance, War","три ветерана второй мировой войны, два из которых были травмированы или инвалиды, возвращаются домой на американский средний запад, чтобы обнаружить, что они и их семьи были непоправимо изменились.","ветерана второй мировой войны , травмированы инвалиды , возвращаются домой американский средний запад , обнаружить , семьи непоправимо изменились .","ветеран второй мировой война , травмировать инвалид , возвращаться домой американский средний запад , обнаружить , семья непоправимый измениться .","['ветерана', 'второй', 'мировой', 'войны', ',', 'травмированы', 'инвалиды', ',', 'возвращаются', 'домой', 'американский', 'средний', 'запад', ',', 'обнаружить', ',', 'семьи', 'непоправимо', 'изменились', '.']",5,"Вторая мировая война и её последствия: борьба, жертвы и судьбы семей",
Изгоняющий дьявола,1973,2h 2m,"Когда таинственная сущность обладает молодой девушкой, ее мать ищет помощи двух католических священников, чтобы спасти ее жизнь.",8.1,United States,Horror,"когда таинственная сущность обладает молодой девушкой, ее мать ищет помощи двух католических священников, чтобы спасти ее жизнь.","таинственная сущность обладает молодой девушкой , мать ищет помощи двух католических священников , спасти жизнь .","таинственный сущность обладать молодой девушка , мать искать помощь два католический священник , спасти жизнь .","['таинственная', 'сущность', 'обладает', 'молодой', 'девушкой', ',', 'мать', 'ищет', 'помощи', 'двух', 'католических', 'священников', ',', 'спасти', 'жизнь', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Страсти Жанны д'Арк,1928,1h 50m,В 1431 году Жанна Д'Арк предназначена для суда по обвинению в ересь. Церковные юристы пытаются заставить Жанну отречься от ее требований святых видений.,8.1,France,"Biography, Drama, History",в 1431 году жанна д'арк предназначена для суда по обвинению в ересь. церковные юристы пытаются заставить жанну отречься от ее требований святых видений.,1431 году жанна д'арк предназначена суда обвинению ересь . церковные юристы пытаются заставить жанну отречься требований святых видений .,1431 год жанна д'арк предназначить суд обвинение ересь . церковный юрист пытаться заставить жанна отречься требование святой видение .,"['1431', 'году', 'жанна', ""д'арк"", 'предназначена', 'суда', 'обвинению', 'ересь', '.', 'церковные', 'юристы', 'пытаются', 'заставить', 'жанну', 'отречься', 'требований', 'святых', 'видений', '.']",10,"Испытания судьбы: от детских мечтаний до исторических битв за правду, преодолением трудностей и надеждой выбором пути ",
Волшебник страны Оз,1939,1h 42m,"Молодая Дороти Гейл и ее собака Тото сметают торнадо с их Канзасской фермы на волшебную страну Оз и отправляются на поиски с тремя новыми друзьями, чтобы увидеть волшебника, который может вернуть ее в дом и выполнить пожелания других.",8.1,United States,"Adventure, Family, Fantasy","молодая дороти гейл и ее собака тото сметают торнадо с их канзасской фермы на волшебную страну оз и отправляются на поиски с тремя новыми друзьями, чтобы увидеть волшебника, который может вернуть ее в дом и выполнить пожелания других.","молодая дороти гейл собака тото сметают торнадо канзасской фермы волшебную страну оз отправляются поиски тремя новыми друзьями , увидеть волшебника , вернуть дом выполнить пожелания других .","молодой дороти гейл собака тоть сметать торнадо канзасский ферма волшебный страна оз отправляться поиск три новый друг , увидеть волшебник , вернуть дом выполнить пожелание другой .","['молодая', 'дороти', 'гейл', 'собака', 'тото', 'сметают', 'торнадо', 'канзасской', 'фермы', 'волшебную', 'страну', 'оз', 'отправляются', 'поиски', 'тремя', 'новыми', 'друзьями', ',', 'увидеть', 'волшебника', ',', 'вернуть', 'дом', 'выполнить', 'пожелания', 'других', '.']",6,"Испытания и трансформация, Поиск счастья и любви, Работа над мечтой",
Суперсемейка,2004,1h 55m,"Пытаясь вести тихую пригородную жизнь, семья тайных супергероев вынуждена спасти мир.",8.0,United States,"Animation, Action, Adventure","пытаясь вести тихую пригородную жизнь, семья тайных супергероев вынуждена спасти мир.","пытаясь вести тихую пригородную жизнь , семья тайных супергероев вынуждена спасти мир .","пытаться вести тихий пригородный жизнь , семья тайный супергерой вынудить спасти мир .","['пытаясь', 'вести', 'тихую', 'пригородную', 'жизнь', ',', 'семья', 'тайных', 'супергероев', 'вынуждена', 'спасти', 'мир', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Звуки музыки,1965,2h 52m,"В 1930 -х годах ее монастырь послал молодой новичок, чтобы стать гувернантой семерыми детьми овдовевшего военно -морского офицера.",8.1,United States,"Biography, Drama, Family","в 1930 -х годах ее монастырь послал молодой новичок, чтобы стать гувернантой семерыми детьми овдовевшего военно -морского офицера.","1930 -х годах монастырь послал молодой новичок , стать гувернантой семерыми детьми овдовевшего военно -морского офицера .","1930 -х год монастырь послать молодой новичок , стать гувернанта семеро ребёнок овдоветь военный -морской офицер .","['1930', '-х', 'годах', 'монастырь', 'послал', 'молодой', 'новичок', ',', 'стать', 'гувернантой', 'семерыми', 'детьми', 'овдовевшего', 'военно', '-морского', 'офицера', '.']",10,"Испытания судьбы: от детских мечтаний до исторических битв за правду, преодолением трудностей и надеждой выбором пути ",
Гонка,2013,2h 3m,"Джеймс Хант и Ники Лауда, два чрезвычайно опытных гонщика Формулы -1, имеют сильное соперничество друг с другом. Тем не менее, именно их вражда толкает их до предела.",8.1,"United Kingdom, United States","Biography, Drama, Sport","джеймс хант и ники лауда, два чрезвычайно опытных гонщика формулы -1, имеют сильное соперничество друг с другом. тем не менее, именно их вражда толкает их до предела.","джеймс хант ники лауда , чрезвычайно опытных гонщика формулы -1 , имеют сильное соперничество друг другом . менее , именно вражда толкает предела .","джеймс хант ника лауд , чрезвычайно опытный гонщик формула -1 , иметь сильный соперничество друг друг . менее , именно вражда толкать предел .","['джеймс', 'хант', 'ники', 'лауда', ',', 'чрезвычайно', 'опытных', 'гонщика', 'формулы', '-1', ',', 'имеют', 'сильное', 'соперничество', 'друг', 'другом', '.', 'менее', ',', 'именно', 'вражда', 'толкает', 'предела', '.']",9,"Испытания дружбы, Разные миры, одни проблемы: конфликты, память и война",
